id	alpha_mon	beta_mon	gamma_mon	LL_mon	r2_adj_mon	AIC_mon	BIC_mon	model_mon	exitFlag_mon	optimizer_mon
32458279	0.835125	0.847619	-1.852149	-0.000807	0.999976	6.001615	11.677076	ambigNrisk	1.000000	fminsearch
32917673	0.761112	-0.397208	-0.141475	-8.510451	0.749429	23.020901	28.696362	ambigNrisk	1.000000	fminunc
33265185	0.490526	1.101567	-0.338928	-8.540082	0.748556	23.080164	28.755625	ambigNrisk	1.000000	fminunc
33324620	0.481010	-0.274654	-0.736841	-9.105723	0.731902	24.211446	29.886906	ambigNrisk	1.000000	fminunc
33518598	0.397909	3.930000	-1.330254	-3.612076	0.893651	13.224151	18.899612	ambigNrisk	1.000000	fminsearch
33771394	0.875535	-0.582981	-0.036437	-12.147020	0.642358	30.294040	35.969501	ambigNrisk	1.000000	fminunc
33943831	1.299383	0.197373	-0.001766	-12.579723	0.629618	31.159447	36.834907	ambigNrisk	1.000000	fminsearch
33996210	0.198277	3.930000	-3.621980	-3.549739	0.895486	13.099477	18.774938	ambigNrisk	1.000000	fminsearch
34031192	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
34493170	0.178700	0.229037	-2.836747	-6.989732	0.794203	19.979464	25.654925	ambigNrisk	1.000000	fminsearch
34546043	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
34807247	0.834442	0.923067	-0.068108	-6.502466	0.808549	19.004932	24.680392	ambigNrisk	1.000000	fminunc
35290405	0.235949	3.929984	-2.266001	-4.575014	0.865299	15.150029	20.825490	ambigNrisk	1.000000	fminunc
35391400	0.846029	-0.009253	-0.025487	-18.838942	0.445330	43.677883	49.353344	ambigNrisk	1.000000	fminunc
35784446	0.470478	0.258539	-14.924522	-1.386494	0.959178	8.772989	14.448450	ambigNrisk	1.000000	fminsearch
36091862	0.272231	3.930000	-1.171225	-6.972698	0.794705	19.945395	25.620856	ambigNrisk	1.000000	fminsearch
36097136	0.724240	1.357332	-5.006101	-0.000600	0.999982	6.001200	11.676661	ambigNrisk	1.000000	fminsearch
36451713	0.328603	1.649462	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
36664627	0.757733	-0.362343	-0.050036	-18.045951	0.468677	42.091901	47.767362	ambigNrisk	1.000000	fminunc
36694687	1.251606	0.957116	-0.000109	-33.324378	0.018838	72.648757	78.324218	ambigNrisk	1.000000	fminsearch
36718880	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
36986192	0.430677	0.650188	-27.040562	-1.386494	0.959178	8.772989	14.448450	ambigNrisk	1.000000	fminsearch
37565973	1.389470	-0.169641	-0.001010	-11.275892	0.668007	28.551783	34.227244	ambigNrisk	1.000000	fminsearch
37914753	1.150626	0.758057	-0.003838	-14.156999	0.583179	34.313998	39.989459	ambigNrisk	1.000000	fminsearch
38424159	0.555923	-0.615799	-0.068823	-29.487885	0.131795	64.975770	70.651231	ambigNrisk	1.000000	fminunc
38688935	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
39072995	0.392637	3.918727	-1.545970	-3.300848	0.902814	12.601697	18.277158	ambigNrisk	1.000000	fminunc
39977423	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
40259347	0.627251	0.548684	-0.144445	-12.468914	0.632881	30.937828	36.613289	ambigNrisk	1.000000	fminunc
40298760	0.746308	1.230143	-0.037253	-15.848798	0.533368	37.697596	43.373057	ambigNrisk	1.000000	fminunc
40381060	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
40442599	0.523355	0.154787	-0.681402	-7.192206	0.788242	20.384412	26.059873	ambigNrisk	1.000000	fminunc
40510545	0.375738	3.930000	-0.757369	-5.994269	0.823512	17.988539	23.664000	ambigNrisk	1.000000	fminsearch
40821809	0.439155	0.021624	-21.475531	-3.438225	0.898769	12.876449	18.551910	ambigNrisk	1.000000	fminsearch
40845494	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
41066214	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
41151865	0.328603	1.649462	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
41181823	0.628526	0.548802	-0.107482	-16.671632	0.509141	39.343265	45.018726	ambigNrisk	1.000000	fminunc
41518270	0.658712	0.498521	-0.219716	-6.460381	0.809789	18.920762	24.596223	ambigNrisk	1.000000	fminunc
41648113	1.377396	1.013345	-0.001572	-7.081094	0.791513	20.162187	25.837648	ambigNrisk	1.000000	fminsearch
41683052	0.844979	0.553006	-0.055707	-9.019792	0.734432	24.039584	29.715045	ambigNrisk	1.000000	fminunc
41990773	1.030885	0.661983	-0.004129	-24.171065	0.288337	54.342130	60.017591	ambigNrisk	1.000000	fminsearch
42169069	0.861279	0.055011	-0.239695	-14.927686	0.560488	35.855371	41.530832	ambigNrisk	1.000000	fminsearch
42279885	0.963864	-0.014521	-0.511184	-0.001400	0.999959	6.002800	11.678261	ambigNrisk	1.000000	fminsearch
42412494	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
42427867	0.400239	3.930000	-0.570547	-6.726060	0.801966	19.452119	25.127580	ambigNrisk	1.000000	fminsearch
42442215	0.429029	0.004100	-21.454670	-4.851582	0.857156	15.703163	21.378624	ambigNrisk	1.000000	fminsearch
42450809	0.848345	0.601195	-0.032624	-13.926243	0.589973	33.852486	39.527947	ambigNrisk	1.000000	fminunc
42470574	0.392637	3.918727	-1.545970	-3.300848	0.902814	12.601697	18.277158	ambigNrisk	1.000000	fminunc
42569045	0.312111	3.930000	-0.155987	-23.992131	0.293606	53.984262	59.659723	ambigNrisk	1.000000	fminsearch
42579027	1.121028	1.217297	-0.004127	-12.540781	0.630765	31.081562	36.757023	ambigNrisk	1.000000	fminunc
43150374	0.435270	0.217289	-0.836721	-8.541196	0.748524	23.082392	28.757853	ambigNrisk	1.000000	fminunc
43333651	0.483870	-0.548123	-0.472698	-14.918582	0.560756	35.837164	41.512625	ambigNrisk	1.000000	fminunc
43407831	0.235949	3.929984	-2.266001	-4.575014	0.865299	15.150029	20.825490	ambigNrisk	1.000000	fminunc
43662822	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
43883974	0.816416	0.918715	-0.049063	-9.319867	0.725597	24.639735	30.315195	ambigNrisk	1.000000	fminunc
43912509	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
44092378	0.429637	0.433946	-0.817079	-6.718840	0.802179	19.437680	25.113141	ambigNrisk	1.000000	fminunc
44273237	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
44480789	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
44602321	0.485928	0.213369	-0.792719	-7.659434	0.774485	21.318869	26.994330	ambigNrisk	1.000000	fminunc
44761741	0.453029	3.930000	-0.951975	-3.523744	0.896251	13.047488	18.722949	ambigNrisk	1.000000	fminsearch
45136650	0.527108	-0.542444	-0.127522	-26.428364	0.221876	58.856728	64.532188	ambigNrisk	1.000000	fminunc
45293562	0.801152	-0.229539	-0.133270	-6.667714	0.803684	19.335429	25.010890	ambigNrisk	1.000000	fminunc
45306769	0.328603	1.649462	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
45633819	0.791744	2.059748	-1.788973	-1.386894	0.959166	8.773789	14.449250	ambigNrisk	1.000000	fminsearch
46728292	0.805852	0.739359	-0.137195	-3.896552	0.885275	13.793104	19.468565	ambigNrisk	1.000000	fminunc
47211862	0.697052	0.366004	-0.095195	-13.872014	0.591570	33.744029	39.419490	ambigNrisk	1.000000	fminunc
47345809	0.220924	3.930000	-1.671213	-6.524645	0.807896	19.049290	24.724751	ambigNrisk	1.000000	fminsearch
48780948	0.178700	3.930000	-0.114528	-32.389427	0.046366	70.778854	76.454315	ambigNrisk	1.000000	fminsearch
48977142	0.561112	0.299774	-0.649085	-4.978835	0.853409	15.957669	21.633130	ambigNrisk	1.000000	fminunc
49100466	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
49453588	0.472858	-1.119605	-0.226922	-22.138510	0.348181	50.277021	55.952482	ambigNrisk	1.000000	fminunc
49894782	0.657088	3.930000	-0.150412	-4.611489	0.864225	15.222977	20.898438	ambigNrisk	1.000000	fminsearch
50057314	0.225967	0.263500	-110.888156	-0.000000	1.000000	6.000000	11.675461	ambigNrisk	1.000000	fminsearch
50078303	0.797317	3.930000	-0.108293	-3.606768	0.893807	13.213536	18.888997	ambigNrisk	1.000000	fminsearch
50327536	0.178700	2.991786	-0.226997	-30.209095	0.110561	66.418190	72.093651	ambigNrisk	1.000000	fminsearch
51568876	0.412371	0.012741	-0.113191	-32.192277	0.052171	70.384554	76.060015	ambigNrisk	1.000000	fminunc
51956906	0.924688	-1.102419	-0.021990	-11.278173	0.667939	28.556346	34.231807	ambigNrisk	1.000000	fminunc
52547965	0.602499	0.510245	-0.168822	-12.758075	0.624367	31.516151	37.191612	ambigNrisk	1.000000	fminunc
52802738	0.514398	0.094093	-0.328881	-15.112083	0.555059	36.224165	41.899626	ambigNrisk	1.000000	fminunc
53006301	0.578927	0.590056	-0.104595	-21.157770	0.377057	48.315539	53.991000	ambigNrisk	1.000000	fminunc
53539784	0.580245	0.449687	-0.176969	-14.637834	0.569022	35.275667	40.951128	ambigNrisk	1.000000	fminunc
53542391	0.339545	-0.335836	-1.351134	-13.566829	0.600555	33.133658	38.809119	ambigNrisk	1.000000	fminunc
53689436	0.178700	-0.740541	-0.130398	-33.844829	0.003515	73.689657	79.365118	ambigNrisk	1.000000	fminsearch
53730198	0.429878	0.002999	-21.655741	-5.995377	0.823480	17.990753	23.666214	ambigNrisk	1.000000	fminsearch
54002742	1.464666	0.826623	-0.524868	-9.214541	0.728699	24.429081	30.104542	ambigNrisk	1.000000	fminunc
54362693	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
54456032	0.963864	-0.014521	-0.511184	-0.001400	0.999959	6.002800	11.678261	ambigNrisk	1.000000	fminsearch
54458361	0.178700	-1.982717	0.139697	-33.718771	0.007226	73.437542	79.113003	ambigNrisk	1.000000	fminsearch
54834634	0.598539	0.203002	-0.258602	-9.905363	0.708359	25.810726	31.486187	ambigNrisk	1.000000	fminunc
55134564	1.011051	0.599931	-0.006992	-19.735620	0.418929	45.471240	51.146701	ambigNrisk	1.000000	fminunc
55252136	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
55372685	0.429637	0.433946	-0.817079	-6.718840	0.802179	19.437680	25.113141	ambigNrisk	1.000000	fminunc
55466417	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
55674497	0.178700	2.768605	-0.558153	-21.562881	0.365129	49.125762	54.801223	ambigNrisk	1.000000	fminsearch
55679461	0.182549	3.930000	-1.892323	-6.991984	0.794137	19.983968	25.659429	ambigNrisk	1.000000	fminsearch
55988864	0.392637	3.860678	-1.545970	-3.300849	0.902814	12.601697	18.277158	ambigNrisk	1.000000	fminunc
